source,target,prob
Armenia,Greece,0.01013299556681444
Greece,Armenia,7.754793431689961e-05
Armenia,Iceland,0.001266624445851805
Iceland,Armenia,2.313904250642108e-05
Armenia,Israel,0.005699810006333123
Israel,Armenia,7.583545391732253e-05
Armenia,Italy,0.001266624445851805
Italy,Armenia,1.998135739355182e-06
Armenia,Lebanon,0.013932868904369853
Lebanon,Armenia,0.0007978530499746139
Armenia,Poland,0.0253324889170361
Poland,Armenia,0.0001269559145586695
Armenia,Qatar,0.03293223559214693
Qatar,Armenia,0.0003463618682226309
Armenia,Romania,0.00506649778340722
Romania,Armenia,7.139797229758677e-05
Armenia,Russia,0.7232425585813806
Russia,Armenia,0.003198180789631396
Armenia,Serbia,0.001266624445851805
Serbia,Armenia,7.673419275629221e-05
Armenia,Ukraine,0.04876504116529449
Ukraine,Armenia,0.0014115749142972372
Armenia,United Arab Emirates,0.08296390120329322
United Arab Emirates,Armenia,0.0003397346957299757
Aruba,Belgium,0.0013966480446927373
Belgium,Aruba,2.1943940546550402e-05
Aruba,Bolivia,0.000931098696461825
Bolivia,Aruba,0.0009033423667570009
Aruba,Brazil,0.004422718808193668
Brazil,Aruba,0.0001928248845587863
Aruba,Canada,0.04143389199255121
Canada,Aruba,0.00036199463109086476
Aruba,Colombia,0.013500931098696463
Colombia,Aruba,0.007092198581560285
Aruba,Ecuador,0.01163873370577281
Ecuador,Aruba,0.01903311762466692
Aruba,Mexico,0.0004655493482309125
Mexico,Aruba,3.131949011870087e-05
Aruba,Netherlands,0.059124767225325885
Netherlands,Aruba,0.0004157133083905347
Aruba,Netherlands Antilles,0.2772346368715084
Netherlands Antilles,Aruba,0.4402957486136782
Aruba,Panama,0.006983240223463688
Panama,Aruba,0.007780082987551867
Aruba,Puerto Rico,0.004189944134078212
Puerto Rico,Aruba,0.000849938615544433
Aruba,Spain,0.0004655493482309125
Spain,Aruba,2.260883327115904e-06
Aruba,United Kingdom,0.0034916201117318434
United Kingdom,Aruba,7.961120012822716e-06
Aruba,United States,0.5523743016759776
United States,Aruba,0.0019171280404010702
Aruba,Uruguay,0.0009310986964618251
Uruguay,Aruba,0.0006130268199233718
Aruba,Venezuela,0.01722532588454376
Venezuela,Aruba,0.1594827586206897
Australia,Austria,0.0004091992413224878
Austria,Australia,0.00021087186969258299
Australia,Bahrain,1.1059438954661833e-05
Bahrain,Australia,4.283022100394039e-05
Australia,Bangladesh,0.00013271326745594198
Bangladesh,Australia,0.004139358399448086
Australia,Belgium,0.0005474422282557606
Belgium,Australia,0.00036207501901808166
Australia,Brazil,0.00034284260759451685
Brazil,Australia,0.0006292180443497237
Australia,Brunei,0.005264292942419032
Brunei,Australia,0.07545973367152825
Australia,Canada,0.020769626356854917
Canada,Australia,0.007638493451557796
Australia,Chile,0.0012110085655354708
Chile,Australia,0.02092290054456866
Australia,China,0.005679021903218851
China,Australia,0.029903331003959928
Australia,Costa Rica,1.1059438954661833e-05
Costa Rica,Australia,0.0002638174383326738
Australia,Croatia,1.1059438954661833e-05
Croatia,Australia,4.5783353172786384e-05
Australia,Czech Republic,0.00035943176602650954
Czech Republic,Australia,0.0004078815261044177
Australia,Denmark,0.00043684783870914237
Denmark,Australia,0.0002789685930801664
Australia,Finland,6.635663372797099e-05
Finland,Australia,6.771703309105686e-05
Australia,France,0.004396126984478079
France,Australia,0.0008596713568317382
Australia,French Polynesia,0.0002986048517758695
French Polynesia,Australia,0.02591170825335893
Australia,Germany,0.006066102266632015
Germany,Australia,0.0006420107988908488
Australia,Greece,0.000790749885258321
Greece,Australia,0.0006930846629572903
Australia,Hong Kong,0.07835612499377907
Hong Kong,Australia,0.06298001706727348
Australia,Hungary,0.00011059438954661833
Hungary,Australia,0.00014783495705394497
Australia,India,0.011385692403824357
India,Australia,0.009979643272586275
Australia,Indonesia,0.017954999142893485
Indonesia,Australia,0.09687332179724324
Australia,Ireland,0.00013271326745594198
Ireland,Australia,6.641649785806796e-05
Australia,Israel,0.0001271835479786111
Israel,Australia,0.0001938017155664909
Australia,Italy,0.0034394855148998293
Italy,Australia,0.0006214202149394614
Australia,Japan,0.03211661072433796
Japan,Australia,0.026048931446639605
Australia,Kazakhstan,2.211887790932367e-05
Kazakhstan,Australia,0.00018432330307359114
Australia,Lebanon,1.6589158431992748e-05
Lebanon,Australia,0.00010879814317835646
Australia,Lithuania,1.1059438954661833e-05
Lithuania,Australia,5.3986935161690884e-05
Australia,Macau,0.0009124037137596012
Macau,Australia,0.006669091790954286
Australia,Malaysia,0.09082011269568296
Malaysia,Australia,0.11946378044966213
Australia,Maldives,0.0004866153140051206
Maldives,Australia,0.022552537160430545
Australia,Malta,2.211887790932367e-05
Malta,Australia,7.290622436890548e-05
Australia,Mexico,5.529719477330916e-05
Mexico,Australia,0.00015659745059350434
Australia,Nepal,6.082691425064007e-05
Nepal,Australia,0.0013079667063020217
Australia,Netherlands,0.0019298720975884896
Netherlands,Australia,0.0005711966323948684
Australia,New Caledonia,0.0024828440453215812
New Caledonia,Australia,0.7835951134380454
Australia,New Zealand,0.2770057674974149
New Zealand,Australia,0.7416608678915655
Australia,Peru,1.1059438954661833e-05
Peru,Australia,0.0022197558268590455
Australia,Philippines,0.026675366758644334
Philippines,Australia,0.04864815804600599
Australia,Poland,0.00019354018170658204
Poland,Australia,0.0001110864252388358
Australia,Portugal,2.211887790932367e-05
Portugal,Australia,1.2199585214102726e-05
Australia,Qatar,0.02460172195464524
Qatar,Australia,0.029633922148509316
Australia,Romania,1.1059438954661833e-05
Romania,Australia,1.784949307439669e-05
Australia,Russia,0.002980518798281364
Russia,Australia,0.001509474120500282
Australia,Saudi Arabia,0.000464496436095797
Saudi Arabia,Australia,0.0010721944245889925
Australia,Senegal,4.9767475295978254e-05
Senegal,Australia,0.0006147960926292782
Australia,Singapore,0.04627269258630511
Singapore,Australia,0.1250840819743195
Australia,Slovenia,1.1059438954661833e-05
Slovenia,Australia,0.0001226768079494572
Australia,South Africa,0.007603364281330008
South Africa,Australia,0.03809708522664303
Australia,South Korea,0.02098528541647083
South Korea,Australia,0.018425550096133312
Australia,Spain,0.002300363302569661
Spain,Australia,0.00047026373204010806
Australia,Sri Lanka,0.0016699752821539365
Sri Lanka,Australia,0.019937941506568968
Australia,Sweden,0.00035943176602650954
Sweden,Australia,0.00020796739071313617
Australia,Switzerland,0.0008626362384636229
Switzerland,Australia,0.0002949356151770842
Australia,Taiwan,0.02922456743769389
Taiwan,Australia,0.024565856016659227
Australia,Thailand,0.016876703844813955
Thailand,Australia,0.02881800842256341
Australia,Tunisia,1.1059438954661833e-05
Tunisia,Australia,0.00014841199168892858
Australia,Turkey,0.000591679984074408
Turkey,Australia,0.0005552038687850895
Australia,United Arab Emirates,0.07714511642824362
United Arab Emirates,Australia,0.03618044839793047
Australia,United Kingdom,0.019718979656162046
United Kingdom,Australia,0.0018926235977150538
Australia,United States,0.15561183581156932
United States,Australia,0.022734892619016654
Australia,Zambia,0.0007188635320530191
Zambia,Australia,0.016335762754460924
Austria,Azerbaijan,5.699239721421162e-06
Azerbaijan,Austria,0.009049773755656111
Austria,Bahrain,4.274429791065871e-05
Bahrain,Austria,0.0003212266575295529
Austria,Belarus,0.00013108251359268672
Belarus,Austria,0.029299363057324848
Austria,Belgium,0.02062839817168389
Belgium,Austria,0.026475364269413056
Austria,Bermuda,5.699239721421162e-06
Bermuda,Austria,0.00023929169657812882
Austria,Bosnia and Herzegovina,3.419543832852697e-05
Bosnia and Herzegovina,Austria,0.05240174672489085
Austria,Brazil,0.00011683441428913383
Brazil,Austria,0.0004160958035215915
Austria,Brunei,5.699239721421162e-06
Brunei,Austria,0.00015852885225110976
Austria,Bulgaria,0.011036577720532079
Bulgaria,Austria,0.06231396714559236
Austria,Canada,0.0038925807297306536
Canada,Austria,0.0027780037419669733
Austria,Cape Verde,1.9947339024974066e-05
Cape Verde,Austria,0.0034773969200198704
Austria,China,0.0004160444996637448
China,Austria,0.004251106452364313
Austria,Croatia,0.005343037238832339
Croatia,Austria,0.04292189359948723
Austria,Cyprus,0.0015786894028336617
Cyprus,Austria,0.02297611147976111
Austria,Czech Republic,0.010683224857803968
Czech Republic,Austria,0.023525351405622494
Austria,Denmark,0.01630267522312523
Denmark,Austria,0.020202269886223187
Austria,Egypt,5.6992397214211615e-05
Egypt,Austria,0.018867924528301883
Austria,Estonia,0.0013763663927232105
Estonia,Austria,0.014458047714550842
Austria,Finland,0.007340620761190455
Finland,Austria,0.014536589770213538
Austria,France,0.04632057083585049
France,Austria,0.017577305541257738
Austria,Gambia,3.134581846781639e-05
Gambia,Austria,0.0025664955669622022
Austria,Georgia,2.2796958885684647e-05
Georgia,Austria,0.003533568904593639
Austria,Germany,0.32656928565729326
Germany,Austria,0.06706935238257991
Austria,Greece,0.0153509021896479
Greece,Austria,0.026109420135321137
Austria,Guernsey,1.4248099303552904e-05
Guernsey,Austria,0.0004430267588162326
Austria,Hong Kong,0.0006924576261526712
Hong Kong,Austria,0.0010800384013653816
Austria,Hungary,0.005636548084485529
Hungary,Austria,0.014620877252635157
Austria,Iceland,0.0014504565091016859
Iceland,Austria,0.0058888863178841655
Austria,India,0.0030490932509603217
India,Austria,0.005186118650639783
Austria,Indonesia,0.0002422176881603994
Indonesia,Austria,0.002535950832388567
Austria,Ireland,0.006730802110998391
Ireland,Austria,0.006536490330864853
Austria,Isle of Man,2.8496198607105808e-05
Isle of Man,Austria,0.0011409013120365088
Austria,Israel,0.011902862158188095
Israel,Austria,0.035196076779184016
Austria,Italy,0.06529049024860083
Italy,Austria,0.02289064303005296
Austria,Japan,0.0012481334989912346
Japan,Austria,0.0019644338797569125
Austria,Jersey,6.839087665705394e-05
Jersey,Austria,0.001546890106348695
Austria,Jordan,0.0007067057254562241
Jordan,Austria,0.04368504491809053
Austria,Kazakhstan,5.414277735350104e-05
Kazakhstan,Austria,0.0008755356895995578
Austria,Latvia,0.005559608348246343
Latvia,Austria,0.023744614560767225
Austria,Lebanon,5.129315749279045e-05
Lebanon,Austria,0.0006527888590701386
Austria,Libya,1.1398479442842325e-05
Libya,Austria,0.008368200836820085
Austria,Lithuania,0.002399379922718309
Lithuania,Austria,0.022728499703071864
Austria,Luxembourg,0.008275296075503528
Luxembourg,Austria,0.03898143549404674
Austria,Macau,5.699239721421162e-06
Macau,Austria,8.083747625399133e-05
Austria,Macedonia,0.0010828555470700208
Macedonia,Austria,0.09457441513190643
Austria,Malaysia,2.5646578746395224e-05
Malaysia,Austria,6.546359133262049e-05
Austria,Maldives,0.00016527795192121373
Maldives,Austria,0.01486417221937468
Austria,Mali,1.1398479442842325e-05
Mali,Austria,0.005076142131979696
Austria,Malta,0.003684558479898781
Malta,Austria,0.023566937027248692
Austria,Mauritania,1.7097719164263483e-05
Mauritania,Austria,0.024999999999999994
Austria,Morocco,2.2796958885684647e-05
Morocco,Austria,0.0003398759452799729
Austria,Netherlands,0.04742052410208478
Netherlands,Austria,0.027235768365853886
Austria,New Zealand,7.693973623918568e-05
New Zealand,Austria,0.00039974534740831773
Austria,Norway,0.006511381381723676
Norway,Austria,0.013725619755281507
Austria,Philippines,2.8496198607105808e-05
Philippines,Austria,0.00010084609876866914
Austria,Poland,0.015083037922741106
Poland,Austria,0.01679944139397594
Austria,Portugal,0.009822639659869372
Portugal,Austria,0.010512992558253022
Austria,Qatar,0.006394546967434543
Qatar,Austria,0.014946846774838147
Austria,Romania,0.018927175114839677
Romania,Austria,0.05927816650007141
Austria,Russia,0.034457603355712345
Russia,Austria,0.03386374965693768
Austria,Saudi Arabia,0.0018095086115512186
Saudi Arabia,Austria,0.008105279281119168
Austria,Senegal,8.833821568202802e-05
Senegal,Austria,0.0021176309857230693
Austria,Serbia,0.0027441839258642896
Serbia,Austria,0.0369475138121547
Austria,Singapore,1.7097719164263483e-05
Singapore,Austria,8.968743927412963e-05
Austria,Slovakia,0.0028439206209891596
Slovakia,Austria,0.0409066688527278
Austria,Slovenia,0.0026131014122716028
Slovenia,Austria,0.056247316444826126
Austria,South Africa,0.00020232301011045123
South Africa,Austria,0.0019671949462484765
Austria,South Korea,0.0028068755627999216
South Korea,Austria,0.004782389155386379
Austria,Spain,0.038159259554775386
Spain,Austria,0.015137744316704536
Austria,Sweden,0.016980884749974348
Sweden,Austria,0.01906581048091659
Austria,Switzerland,0.06591455699809644
Switzerland,Austria,0.04373176740167394
Austria,Taiwan,0.004827256044043725
Taiwan,Austria,0.007874088948386138
Austria,Thailand,0.0030433940112389
Thailand,Austria,0.010084414480765965
Austria,Tunisia,0.00044454069827085064
Tunisia,Austria,0.011576135351736431
Austria,Turkey,0.016322622562150207
Turkey,Austria,0.029721567854214884
Austria,Ukraine,0.007266530644811982
Ukraine,Austria,0.046746961447505904
Austria,United Arab Emirates,0.008010281428457442
United Arab Emirates,Austria,0.007290032287763066
Austria,United Kingdom,0.08446558229132232
United Kingdom,Austria,0.015731703886671874
Austria,United States,0.016057607915104122
United States,Austria,0.004552472190332925
Austria,Uzbekistan,5.699239721421162e-06
Uzbekistan,Austria,0.0005571030640668524
Azerbaijan,France,0.013574660633484168
France,Azerbaijan,3.2440428559688235e-06
Azerbaijan,Germany,0.10859728506787335
Germany,Azerbaijan,1.4045815107912827e-05
Azerbaijan,Greece,0.009049773755656111
Greece,Azerbaijan,9.693491789612452e-06
Azerbaijan,Hong Kong,0.022624434389140274
Hong Kong,Azerbaijan,2.222301237377328e-05
Azerbaijan,Israel,0.040723981900452504
Israel,Azerbaijan,7.583545391732253e-05
Azerbaijan,Italy,0.03619909502262445
Italy,Azerbaijan,7.992542957420727e-06
Azerbaijan,Kazakhstan,0.040723981900452504
Kazakhstan,Azerbaijan,0.00041472743191558006
Azerbaijan,Latvia,0.013574660633484168
Latvia,Azerbaijan,3.6511452425577494e-05
Azerbaijan,Luxembourg,0.054298642533936674
Luxembourg,Azerbaijan,0.00016108031195887084
Azerbaijan,Russia,0.26696832579185525
Russia,Azerbaijan,0.00016523000576904758
Azerbaijan,Saudi Arabia,0.009049773755656111
Saudi Arabia,Azerbaijan,2.5528438680690295e-05
Azerbaijan,South Korea,0.013574660633484168
South Korea,Azerbaijan,1.4565652249907758e-05
Azerbaijan,Switzerland,0.013574660633484168
Switzerland,Azerbaijan,5.671838753405466e-06
Azerbaijan,Turkey,0.10859728506787335
Turkey,Azerbaijan,0.00012453170888637524
Azerbaijan,Ukraine,0.04524886877828055
Ukraine,Azerbaijan,0.00018332141744119962
Azerbaijan,United Arab Emirates,0.08597285067873306
United Arab Emirates,Azerbaijan,4.927449785396594e-05
Azerbaijan,United States,0.018099547511312222
United States,Azerbaijan,3.2315685468201775e-06
Bahamas,Canada,0.004924086992203529
Canada,Bahamas,2.4404132433092008e-05
Bahamas,Puerto Rico,0.0016413623307345098
Puerto Rico,Bahamas,0.0001888752478987629
Bahamas,United States,0.9893311448502256
United States,Bahamas,0.001947827941595862
Bahrain,Algeria,0.00012849066301182116
Algeria,Bahrain,0.0002251745102454402
Bahrain,Bangladesh,0.0021415110501970193
Bangladesh,Bahrain,0.017247326664367024
Bahrain,Belgium,0.0005353777625492548
Belgium,Bahrain,9.143308561062668e-05
Bahrain,Brazil,4.283022100394039e-05
Brazil,Bahrain,2.0297356269345923e-05
Bahrain,Canada,4.283022100394039e-05
Canada,Bahrain,4.067355405515334e-06
Bahrain,Cyprus,0.004582833647421622
Cyprus,Bahrain,0.008875248838752486
Bahrain,Czech Republic,0.00010707555250985097
Czech Republic,Bahrain,3.137550200803213e-05
Bahrain,Egypt,8.56604420078808e-05
Egypt,Bahrain,0.0037735849056603774
Bahrain,France,0.01661812574952887
France,Bahrain,0.000839125752077269
Bahrain,Georgia,0.0004068870995374337
Georgia,Bahrain,0.008392226148409893
Bahrain,Germany,0.02976700359773857
Germany,Bahrain,0.0008134867916666179
Bahrain,Greece,0.010129347267431903
Greece,Bahrain,0.002292510808243345
Bahrain,Hong Kong,0.015226143566900809
Hong Kong,Bahrain,0.003160112359550561
Bahrain,Hungary,4.283022100394039e-05
Hungary,Bahrain,1.4783495705394496e-05
Bahrain,Iceland,4.283022100394039e-05
Iceland,Bahrain,2.313904250642108e-05
Bahrain,India,0.1271200959396951
India,Bahrain,0.028770841411399774
Bahrain,Ireland,0.00027839643652561257
Ireland,Bahrain,3.597560300645348e-05
Bahrain,Israel,0.00017132088401576156
Israel,Bahrain,6.740929237095335e-05
Bahrain,Italy,0.0065316087031009095
Italy,Bahrain,0.0003047157002516652
Bahrain,Japan,0.0005782079835531952
Japan,Bahrain,0.00012109523916309733
Bahrain,Jordan,0.00021415110501970194
Jordan,Bahrain,0.0017614937466971987
Bahrain,Kazakhstan,0.000107075552509851
Kazakhstan,Bahrain,0.00023040412884198894
Bahrain,Kuwait,0.0007066986465650164
Kuwait,Bahrain,0.09016393442622953
Bahrain,Lebanon,0.01747473016960768
Lebanon,Bahrain,0.029593094944512958
Bahrain,Luxembourg,0.002526983039232483
Luxembourg,Bahrain,0.0015839564009288965
Bahrain,Macau,0.000556792873051225
Macau,Bahrain,0.0010508871913018874
Bahrain,Malaysia,0.0008566044200788079
Malaysia,Bahrain,0.0002909492948116467
Bahrain,Morocco,0.001242076409114271
Morocco,Bahrain,0.0024641006032798036
Bahrain,Nepal,0.0004925475415453144
Nepal,Bahrain,0.0027348394768133178
Bahrain,Netherlands,0.01310604762720576
Netherlands,Bahrain,0.0010016399399016033
Bahrain,Pakistan,0.007195477128661985
Pakistan,Bahrain,0.14640522875816994
Bahrain,Philippines,0.012570669864656504
Philippines,Bahrain,0.005919665997720878
Bahrain,Poland,6.424533150591059e-05
Poland,Bahrain,9.521693591900213e-06
Bahrain,Qatar,0.011371423676546172
Qatar,Bahrain,0.003536887538965711
Bahrain,Russia,0.017324824396093886
Russia,Bahrain,0.0022656114350366016
Bahrain,Saudi Arabia,0.16937210896008226
Saudi Arabia,Bahrain,0.10095221076278976
Bahrain,Singapore,0.0010921706356004802
Singapore,Bahrain,0.0007623432338301022
Bahrain,Slovakia,8.56604420078808e-05
Slovakia,Bahrain,0.00016395458458007134
Bahrain,South Africa,0.000428302210039404
South Africa,Bahrain,0.0005541394214784442
Bahrain,South Korea,8.566044200788078e-05
South Korea,Bahrain,1.9420869666543675e-05
Bahrain,Spain,0.0015633030666438242
Spain,Bahrain,8.25222414397305e-05
Bahrain,Sri Lanka,0.0089086859688196
Sri Lanka,Bahrain,0.02746418432692944
Bahrain,Sweden,0.00010707555250985097
Sweden,Bahrain,1.5997491593318166e-05
Bahrain,Switzerland,0.0005353777625492548
Switzerland,Bahrain,4.7265322945045545e-05
Bahrain,Taiwan,0.00014990577351379136
Taiwan,Bahrain,3.2537557637959236e-05
Bahrain,Thailand,0.010215007709439783
Thailand,Bahrain,0.004503994107982552
Bahrain,Turkey,0.04315144766146994
Turkey,Bahrain,0.010455474725251919
Bahrain,United Arab Emirates,0.410955970532808
United Arab Emirates,Bahrain,0.049767242832505595
Bahrain,United Kingdom,0.04966164125406888
United Kingdom,Bahrain,0.001230789153982392
Bahrain,United States,0.0027197190337502146
United States,Bahrain,0.00010260230136154064
Bangladesh,Algeria,0.0003449465332873405
Algeria,Bangladesh,7.50581700818134e-05
Bangladesh,Argentina,0.0020696791997240425
Argentina,Bangladesh,0.0002495373162261639
Bangladesh,Belgium,0.0034494653328734056
Belgium,Bangladesh,7.314646848850136e-05
Bangladesh,Canada,0.0013797861331493622
Canada,Bangladesh,1.626942162206134e-05
Bangladesh,China,0.001552259399793032
China,Bangladesh,0.0002620545073375261
Bangladesh,France,0.000689893066574681
France,Bangladesh,4.325390474625098e-06
Bangladesh,Germany,0.009658502932045536
Germany,Bangladesh,3.277356858512993e-05
Bangladesh,Greece,0.0013797861331493622
Greece,Bangladesh,3.877396715844981e-05
Bangladesh,Hong Kong,0.04398068299413591
Hong Kong,Bangladesh,0.0011333736310624374
Bangladesh,Hungary,0.0003449465332873405
Hungary,Bangladesh,1.4783495705394496e-05
Bangladesh,India,0.11641945498447741
India,Bangladesh,0.0032716169057774333
Bangladesh,Indonesia,0.012418075198344258
Indonesia,Bangladesh,0.002148099528611492
Bangladesh,Ireland,0.0006898930665746811
Ireland,Bangladesh,1.1069416309677993e-05
Bangladesh,Italy,0.004484304932735427
