Macao SAR, China;55084050790
St. Martin (French part);
Morocco;1.18E+11
Monaco;7184844193
Moldova;11443671436
Madagascar;13853432868
Maldives;5327457150
Middle East & North Africa;3.61E+12
Mexico;1.22E+12
Marshall Islands;221278000
Middle income;3.12E+13
North Macedonia;12672131053
Mali;17163432832
Malta;14553422929
Myanmar;71214803378
Middle East & North Africa (excluding high income);
Montenegro;5504166667
Mongolia;13066749138
Northern Mariana Islands;1323000000
Mozambique;14717223207
Mauritania;5234817927
Mauritius;14220348673
Malawi;7064971176
Malaysia;3.59E+11
North America;2.23E+13
Namibia;14521711634
New Caledonia;
Niger;9290938457
Nigeria;3.97E+11
Nicaragua;13117845417
Netherlands;9.14E+11
Norway;4.34E+11
Nepal;29040398982
Nauru;125628504.3
New Zealand;2.05E+11
OECD members;5.27E+13
Oman;79276723017
Other small states;4.52E+11
Pakistan;3.15E+11
Panama;65055100000
Peru;2.22E+11
Philippines;3.31E+11
Palau;283994900
Papua New Guinea;23497607690
Poland;5.86E+11
Pre-demographic dividend;1.32E+12
Puerto Rico;1.01E+11
Korea, Dem. People’s Rep.;
Portugal;2.41E+11
Paraguay;40496953779
West Bank and Gaza;14615900000
Pacific island small states;10381220343
Post-demographic dividend;5.01E+13
French Polynesia;
Qatar;1.91E+11
Romania;2.40E+11
Russian Federation;1.66E+12
Rwanda;9508715596
South Asia;3.45E+12
Saudi Arabia;7.87E+11
Sudan;40851536134
Senegal;24129599552
Singapore;3.64E+11
Solomon Islands;1395608472
Sierra Leone;4085114794
El Salvador;26057000000
San Marino;
Somalia;4720727278
Serbia;50597289147
Sub-Saharan Africa (excluding high income);1.71E+12
South Sudan;
Sub-Saharan Africa;1.71E+12
Small states;5.36E+11
Sao Tome and Principe;422296762.3
Suriname;3590753769
Slovak Republic;1.06E+11
Slovenia;54007972106
Sweden;5.56E+11
Eswatini;4710618472
Sint Maarten (Dutch part);
Seychelles;1590180446
Syrian Arab Republic;
Turks and Caicos Islands;1022312010
Chad;11273115239
East Asia & Pacific (IDA & IBRD countries);1.63E+13
Europe & Central Asia (IDA & IBRD countries);4.06E+12
Togo;5358722983
Thailand;5.05E+11
Tajikistan;7522947810
Turkmenistan;40761142857
Latin America & the Caribbean (IDA & IBRD countries);5.56E+12
Timor-Leste;2581000000
Middle East & North Africa (IDA & IBRD countries);
Tonga;450353313.9
South Asia (IDA & IBRD);3.45E+12
Sub-Saharan Africa (IDA & IBRD countries);1.71E+12
Trinidad and Tobago;23808146748
Tunisia;39871132268
Turkey;7.71E+11
Tuvalu;42587778.47
Tanzania;58001200572
Uganda;27461440192
Ukraine;1.31E+11
Upper middle income;2.44E+13
Uruguay;59596885024
United States;2.05E+13
Uzbekistan;50499921558
St. Vincent and the Grenadines;811300000
Venezuela, RB;
British Virgin Islands;
Virgin Islands (U.S.);
Vietnam;2.45E+11
Vanuatu;914301119.3
World;8.59E+13
Samoa;820491798.3
Kosovo;7938990793
Yemen, Rep.;26914402224
South Africa;3.68E+11
Zambia;26720073436
Zimbabwe;31000519447
