Name,variable,value,score
New Caledonia,Population,284060.00,2.00
Niger,Population,22442948.00,8.00
Nigeria,Population,195874740.00,10.00
Nicaragua,Population,6465513.00,5.00
Netherlands,Population,17231624.00,7.00
Norway,Population,5311916.00,5.00
Nepal,Population,28087871.00,8.00
New Zealand,Population,4841000.00,5.00
Oman,Population,4829483.00,5.00
Pakistan,Population,212215030.00,10.00
Panama,Population,4176873.00,4.00
Peru,Population,31989256.00,8.00
Philippines,Population,106651922.00,10.00
Papua New Guinea,Population,8606316.00,6.00
Poland,Population,37974750.00,9.00
Puerto Rico,Population,3195153.00,4.00
North Korea,Population,25549819.00,8.00
Portugal,Population,10283822.00,6.00
Paraguay,Population,6956071.00,5.00
Palestine,Population,4569087.00,4.00
French Polynesia,Population,277679.00,2.00
Qatar,Population,2781677.00,4.00
Romania,Population,19466145.00,8.00
Russia,Population,144478050.00,10.00
Rwanda,Population,12301939.00,7.00
Saudi Arabia,Population,33699947.00,8.00
Sudan,Population,41801533.00,9.00
Senegal,Population,15854360.00,7.00
Singapore,Population,5638676.00,5.00
Sierra Leone,Population,7650154.00,6.00
El Salvador,Population,6420744.00,5.00
San Marino,Population,33785.00,1.00
Somalia,Population,15008154.00,7.00
Serbia,Population,6982604.00,5.00
South Sudan,Population,10975920.00,6.00
Suriname,Population,575991.00,2.00
Slovakia,Population,5446771.00,5.00
Slovenia,Population,2073894.00,3.00
Sweden,Population,10175214.00,6.00
Swaziland,Population,1136191.00,3.00
Sint Maarten (Dutch part),Population,40654.00,1.00
Seychelles,Population,96762.00,1.00
Syria,Population,16906283.00,7.00
Turks and Caicos Islands,Population,37665.00,1.00
Chad,Population,15477751.00,7.00
Togo,Population,7889094.00,6.00
Thailand,Population,69428524.00,10.00
Timor,Population,1267972.00,3.00
Trinidad and Tobago,Population,1389858.00,3.00
Tunisia,Population,11565204.00,7.00
Turkey,Population,82319724.00,10.00
Tanzania,Population,56318348.00,9.00
Uganda,Population,42723139.00,9.00
Ukraine,Population,44622516.00,9.00
Uruguay,Population,3449299.00,4.00
United States,Population,326687501.00,10.00
Uzbekistan,Population,32955400.00,8.00
Saint Vincent and the Grenadines,Population,110210.00,2.00
Venezuela,Population,28870195.00,8.00
British Virgin Islands,Population,29802.00,1.00
United States Virgin Islands,Population,106977.00,2.00
Vietnam,Population,95540395.00,10.00
Kosovo,Population,1845300.00,3.00
South Africa,Population,57779622.00,9.00
Zambia,Population,17351822.00,7.00
Zimbabwe,Population,14439018.00,7.00
Aruba,Population density (people per sq. km of land area),588.03,10.00
Afghanistan,Population density (people per sq. km of land area),56.94,4.00
Angola,Population density (people per sq. km of land area),24.71,2.00
Albania,Population density (people per sq. km of land area),104.61,6.00
Andorra,Population density (people per sq. km of land area),163.84,7.00
United Arab Emirates,Population density (people per sq. km of land area),135.61,7.00
Argentina,Population density (people per sq. km of land area),16.26,2.00
Armenia,Population density (people per sq. km of land area),103.68,6.00
Antigua and Barbuda,Population density (people per sq. km of land area),218.83,8.00
Australia,Population density (people per sq. km of land area),3.25,1.00
Austria,Population density (people per sq. km of land area),107.21,6.00
Azerbaijan,Population density (people per sq. km of land area),120.27,7.00
Burundi,Population density (people per sq. km of land area),435.18,10.00
Belgium,Population density (people per sq. km of land area),377.21,9.00
Benin,Population density (people per sq. km of land area),101.85,6.00
Burkina Faso,Population density (people per sq. km of land area),72.19,5.00
Bangladesh,Population density (people per sq. km of land area),1239.58,10.00
Bulgaria,Population density (people per sq. km of land area),64.70,4.00
Bahrain,Population density (people per sq. km of land area),2017.27,10.00
Bahamas,Population density (people per sq. km of land area),38.53,3.00
Bosnia and Herzegovina,Population density (people per sq. km of land area),64.92,4.00
Belarus,Population density (people per sq. km of land area),46.73,4.00
Belize,Population density (people per sq. km of land area),16.79,2.00
Bermuda,Population density (people per sq. km of land area),1184.59,10.00
Bolivia,Population density (people per sq. km of land area),10.48,1.00
Brazil,Population density (people per sq. km of land area),25.06,3.00
Barbados,Population density (people per sq. km of land area),666.61,10.00
Brunei,Population density (people per sq. km of land area),81.40,5.00
Bhutan,Population density (people per sq. km of land area),19.78,2.00
Botswana,Population density (people per sq. km of land area),3.98,1.00
Central African Republic,Population density (people per sq. km of land area),7.49,1.00
Canada,Population density (people per sq. km of land area),4.08,1.00
Switzerland,Population density (people per sq. km of land area),215.52,8.00
Chile,Population density (people per sq. km of land area),25.19,3.00
China,Population density (people per sq. km of land area),148.35,7.00
Cote d'Ivoire,Population density (people per sq. km of land area),78.83,5.00
Cameroon,Population density (people per sq. km of land area),53.34,4.00
Democratic Republic of Congo,Population density (people per sq. km of land area),37.08,3.00
Congo,Population density (people per sq. km of land area),15.36,1.00
Colombia,Population density (people per sq. km of land area),44.75,3.00
Cape Verde,Population density (people per sq. km of land area),134.93,7.00
Costa Rica,Population density (people per sq. km of land area),97.91,6.00
Cuba,Population density (people per sq. km of land area),109.00,6.00
Curacao,Population density (people per sq. km of land area),360.75,9.00
Cayman Islands,Population density (people per sq. km of land area),267.39,8.00
Cyprus,Population density (people per sq. km of land area),128.71,7.00
Czech Republic,Population density (people per sq. km of land area),137.60,7.00
Germany,Population density (people per sq. km of land area),237.37,8.00
Djibouti,Population density (people per sq. km of land area),41.37,3.00
Dominica,Population density (people per sq. km of land area),95.50,6.00
Denmark,Population density (people per sq. km of land area),138.07,7.00
Dominican Republic,Population density (people per sq. km of land area),219.98,8.00
Algeria,Population density (people per sq. km of land area),17.73,2.00
Ecuador,Population density (people per sq. km of land area),68.79,4.00
Egypt,Population density (people per sq. km of land area),98.87,6.00
Eritrea,Population density (people per sq. km of land area),31.82,3.00
Spain,Population density (people per sq. km of land area),93.53,6.00
Estonia,Population density (people per sq. km of land area),30.39,3.00
Ethiopia,Population density (people per sq. km of land area),109.22,6.00
Finland,Population density (people per sq. km of land area),18.16,2.00
Fiji,Population density (people per sq. km of land area),48.36,4.00
France,Population density (people per sq. km of land area),122.34,7.00
Faeroe Islands,Population density (people per sq. km of land area),34.74,3.00
Gabon,Population density (people per sq. km of land area),8.22,1.00
United Kingdom,Population density (people per sq. km of land area),274.83,9.00
Georgia,Population density (people per sq. km of land area),65.28,4.00
Ghana,Population density (people per sq. km of land area),130.82,7.00
Gibraltar,Population density (people per sq. km of land area),3371.80,10.00
Guinea,Population density (people per sq. km of land area),50.52,4.00
Gambia,Population density (people per sq. km of land area),225.31,8.00
Guinea-Bissau,Population density (people per sq. km of land area),66.65,4.00
Equatorial Guinea,Population density (people per sq. km of land area),46.67,4.00
Greece,Population density (people per sq. km of land area),83.22,5.00
Grenada,Population density (people per sq. km of land area),327.81,9.00
Greenland,Population density (people per sq. km of land area),0.14,1.00
Guatemala,Population density (people per sq. km of land area),160.95,7.00
Guam,Population density (people per sq. km of land area),306.98,9.00
Guyana,Population density (people per sq. km of land area),3.96,1.00
Honduras,Population density (people per sq. km of land area),85.69,5.00
Croatia,Population density (people per sq. km of land area),73.08,5.00
Haiti,Population density (people per sq. km of land area),403.60,9.00
Hungary,Population density (people per sq. km of land area),107.91,6.00
Indonesia,Population density (people per sq. km of land area),147.75,7.00
Isle of Man,Population density (people per sq. km of land area),147.50,7.00
India,Population density (people per sq. km of land area),454.94,10.00
Ireland,Population density (people per sq. km of land area),70.45,5.00
Iran,Population density (people per sq. km of land area),50.22,4.00
Iraq,Population density (people per sq. km of land area),88.53,5.00
Iceland,Population density (people per sq. km of land area),3.53,1.00
Israel,Population density (people per sq. km of land area),410.53,9.00
Italy,Population density (people per sq. km of land area),205.45,8.00
Jamaica,Population density (people per sq. km of land area),270.99,9.00
Jordan,Population density (people per sq. km of land area),112.14,6.00
Japan,Population density (people per sq. km of land area),347.07,9.00
Kazakhstan,Population density (people per sq. km of land area),6.77,1.00
Kenya,Population density (people per sq. km of land area),90.30,6.00
Kyrgyzstan,Population density (people per sq. km of land area),32.93,3.00
Cambodia,Population density (people per sq. km of land area),92.06,6.00
Saint Kitts and Nevis,Population density (people per sq. km of land area),201.70,8.00
South Korea,Population density (people per sq. km of land area),529.65,10.00
Kuwait,Population density (people per sq. km of land area),232.17,8.00
Laos,Population density (people per sq. km of land area),30.60,3.00
Lebanon,Population density (people per sq. km of land area),669.49,10.00
Liberia,Population density (people per sq. km of land area),50.03,4.00
Libya,Population density (people per sq. km of land area),3.80,1.00
Saint Lucia,Population density (people per sq. km of land area),298.18,9.00
Liechtenstein,Population density (people per sq. km of land area),236.94,8.00
Sri Lanka,Population density (people per sq. km of land area),345.56,9.00
Lithuania,Population density (people per sq. km of land area),44.53,3.00
Luxembourg,Population density (people per sq. km of land area),250.09,8.00
Latvia,Population density (people per sq. km of land area),30.98,3.00
Morocco,Population density (people per sq. km of land area),80.73,5.00
Monaco,Population density (people per sq. km of land area),19196.00,10.00
Moldova,Population density (people per sq. km of land area),123.52,7.00
Madagascar,Population density (people per sq. km of land area),45.14,3.00
Maldives,Population density (people per sq. km of land area),1718.99,10.00
Mexico,Population density (people per sq. km of land area),64.91,4.00
Macedonia,Population density (people per sq. km of land area),82.59,5.00
Mali,Population density (people per sq. km of land area),15.64,2.00
Malta,Population density (people per sq. km of land area),1511.03,10.00
Myanmar,Population density (people per sq. km of land area),82.24,5.00
Montenegro,Population density (people per sq. km of land area),46.27,4.00
Mongolia,Population density (people per sq. km of land area),2.04,1.00
Mariana Islands,Population density (people per sq. km of land area),123.66,7.00
Mozambique,Population density (people per sq. km of land area),37.51,3.00
Mauritania,Population density (people per sq. km of land area),4.27,1.00
Mauritius,Population density (people per sq. km of land area),623.30,10.00
Malaysia,Population density (people per sq. km of land area),95.96,6.00
Namibia,Population density (people per sq. km of land area),2.97,1.00
New Caledonia,Population density (people per sq. km of land area),15.54,2.00
Niger,Population density (people per sq. km of land area),17.72,2.00
Nigeria,Population density (people per sq. km of land area),215.06,8.00
Nicaragua,Population density (people per sq. km of land area),53.73,4.00
Netherlands,Population density (people per sq. km of land area),511.46,10.00
Norway,Population density (people per sq. km of land area),14.55,1.00
Nepal,Population density (people per sq. km of land area),195.94,8.00
New Zealand,Population density (people per sq. km of land area),18.55,2.00
Oman,Population density (people per sq. km of land area),15.60,2.00
Pakistan,Population density (people per sq. km of land area),275.29,9.00
Panama,Population density (people per sq. km of land area),56.19,4.00
Peru,Population density (people per sq. km of land area),24.99,2.00
Philippines,Population density (people per sq. km of land area),357.69,9.00
Papua New Guinea,Population density (people per sq. km of land area),19.00,2.00
Poland,Population density (people per sq. km of land area),124.04,7.00
Puerto Rico,Population density (people per sq. km of land area),360.22,9.00
North Korea,Population density (people per sq. km of land area),212.19,8.00
Portugal,Population density (people per sq. km of land area),112.24,7.00
Paraguay,Population density (people per sq. km of land area),17.51,2.00
Palestine,Population density (people per sq. km of land area),758.98,10.00
French Polynesia,Population density (people per sq. km of land area),75.87,5.00
Qatar,Population density (people per sq. km of land area),239.59,8.00
Romania,Population density (people per sq. km of land area),84.64,5.00
Russia,Population density (people per sq. km of land area),8.82,1.00
Rwanda,Population density (people per sq. km of land area),498.66,10.00
Saudi Arabia,Population density (people per sq. km of land area),15.68,2.00
Sudan,Population density (people per sq. km of land area),,
Senegal,Population density (people per sq. km of land area),82.35,5.00
Singapore,Population density (people per sq. km of land area),7953.00,10.00
Sierra Leone,Population density (people per sq. km of land area),105.99,6.00
El Salvador,Population density (people per sq. km of land area),309.88,9.00
San Marino,Population density (people per sq. km of land area),563.08,10.00
Somalia,Population density (people per sq. km of land area),23.92,2.00
Serbia,Population density (people per sq. km of land area),79.83,5.00
South Sudan,Population density (people per sq. km of land area),,
Suriname,Population density (people per sq. km of land area),3.69,1.00
Slovakia,Population density (people per sq. km of land area),113.29,7.00
Slovenia,Population density (people per sq. km of land area),102.64,6.00
Sweden,Population density (people per sq. km of land area),25.00,2.00
Swaziland,Population density (people per sq. km of land area),66.06,4.00
Sint Maarten (Dutch part),Population density (people per sq. km of land area),1193.35,10.00
Seychelles,Population density (people per sq. km of land area),210.35,8.00
Syria,Population density (people per sq. km of land area),92.07,6.00
Turks and Caicos Islands,Population density (people per sq. km of land area),39.65,3.00
Chad,Population density (people per sq. km of land area),12.29,1.00
Togo,Population density (people per sq. km of land area),145.05,7.00
Thailand,Population density (people per sq. km of land area),135.90,7.00
Timor,Population density (people per sq. km of land area),85.27,5.00
Trinidad and Tobago,Population density (people per sq. km of land area),270.93,9.00
Tunisia,Population density (people per sq. km of land area),74.44,5.00
Turkey,Population density (people per sq. km of land area),106.96,6.00
Tanzania,Population density (people per sq. km of land area),63.58,4.00
Uganda,Population density (people per sq. km of land area),213.06,8.00
Ukraine,Population density (people per sq. km of land area),77.03,5.00
Uruguay,Population density (people per sq. km of land area),19.71,2.00
United States,Population density (people per sq. km of land area),35.77,3.00
Uzbekistan,Population density (people per sq. km of land area),77.47,5.00
Saint Vincent and the Grenadines,Population density (people per sq. km of land area),282.59,9.00
Venezuela,Population density (people per sq. km of land area),32.73,3.00
British Virgin Islands,Population density (people per sq. km of land area),198.68,8.00
United States Virgin Islands,Population density (people per sq. km of land area),305.65,9.00
Vietnam,Population density (people per sq. km of land area),308.13,9.00
Kosovo,Population density (people per sq. km of land area),168.15,8.00
South Africa,Population density (people per sq. km of land area),47.63,4.00
Zambia,Population density (people per sq. km of land area),23.34,2.00
Zimbabwe,Population density (people per sq. km of land area),37.32,3.00
Aruba,Urban population (% of total population),43.41,3.00
Afghanistan,Urban population (% of total population),25.50,1.00
Angola,Urban population (% of total population),65.51,6.00
Albania,Urban population (% of total population),60.32,5.00
Andorra,Urban population (% of total population),88.06,9.00
United Arab Emirates,Urban population (% of total population),86.52,9.00
Argentina,Urban population (% of total population),91.87,10.00
Armenia,Urban population (% of total population),63.15,6.00
Antigua and Barbuda,Urban population (% of total population),24.60,1.00
Australia,Urban population (% of total population),86.01,9.00
Austria,Urban population (% of total population),58.30,5.00
Azerbaijan,Urban population (% of total population),55.68,4.00
Burundi,Urban population (% of total population),13.03,1.00
Belgium,Urban population (% of total population),98.00,10.00
Benin,Urban population (% of total population),47.31,3.00
Burkina Faso,Urban population (% of total population),29.36,1.00
Bangladesh,Urban population (% of total population),36.63,2.00
Bulgaria,Urban population (% of total population),75.01,7.00
Bahrain,Urban population (% of total population),89.29,9.00
Bahamas,Urban population (% of total population),83.03,8.00
Bosnia and Herzegovina,Urban population (% of total population),48.24,3.00
Belarus,Urban population (% of total population),78.59,8.00
Belize,Urban population (% of total population),45.72,3.00
Bermuda,Urban population (% of total population),100.00,10.00
Bolivia,Urban population (% of total population),69.42,6.00
Brazil,Urban population (% of total population),86.57,9.00
Barbados,Urban population (% of total population),31.15,2.00
Brunei,Urban population (% of total population),77.63,8.00
Bhutan,Urban population (% of total population),40.90,3.00
Botswana,Urban population (% of total population),69.45,7.00
Central African Republic,Urban population (% of total population),41.36,3.00
Canada,Urban population (% of total population),81.41,8.00
Switzerland,Urban population (% of total population),73.80,7.00
Chile,Urban population (% of total population),87.56,9.00
China,Urban population (% of total population),59.15,5.00
Cote d'Ivoire,Urban population (% of total population),50.78,4.00
Cameroon,Urban population (% of total population),56.37,5.00
Democratic Republic of Congo,Urban population (% of total population),44.46,3.00
Congo,Urban population (% of total population),66.92,6.00
Colombia,Urban population (% of total population),80.78,8.00
Cape Verde,Urban population (% of total population),65.73,6.00
Costa Rica,Urban population (% of total population),79.34,8.00
Cuba,Urban population (% of total population),77.04,7.00
Curacao,Urban population (% of total population),89.14,9.00
Cayman Islands,Urban population (% of total population),100.00,10.00
Cyprus,Urban population (% of total population),66.81,6.00
Czech Republic,Urban population (% of total population),73.79,7.00
Germany,Urban population (% of total population),77.31,7.00
Djibouti,Urban population (% of total population),77.78,8.00
Dominica,Urban population (% of total population),70.48,7.00
Denmark,Urban population (% of total population),87.87,9.00
Dominican Republic,Urban population (% of total population),81.07,8.00
Algeria,Urban population (% of total population),72.63,7.00
Ecuador,Urban population (% of total population),63.82,6.00
Egypt,Urban population (% of total population),42.70,3.00
Eritrea,Urban population (% of total population),35.77,2.00
Spain,Urban population (% of total population),80.32,8.00
Estonia,Urban population (% of total population),68.88,6.00
Ethiopia,Urban population (% of total population),20.76,1.00
Finland,Urban population (% of total population),85.38,9.00
Fiji,Urban population (% of total population),56.25,5.00
France,Urban population (% of total population),80.44,8.00
Faeroe Islands,Urban population (% of total population),42.06,3.00
Gabon,Urban population (% of total population),89.37,9.00
United Kingdom,Urban population (% of total population),83.40,8.00
Georgia,Urban population (% of total population),58.63,5.00
Ghana,Urban population (% of total population),56.06,5.00
Gibraltar,Urban population (% of total population),100.00,10.00
Guinea,Urban population (% of total population),36.14,2.00
Gambia,Urban population (% of total population),61.27,5.00
Guinea-Bissau,Urban population (% of total population),43.36,3.00
Equatorial Guinea,Urban population (% of total population),72.14,7.00
Greece,Urban population (% of total population),79.06,8.00
Grenada,Urban population (% of total population),36.27,2.00
Greenland,Urban population (% of total population),86.82,9.00
Guatemala,Urban population (% of total population),51.05,4.00
Guam,Urban population (% of total population),94.78,10.00
Guyana,Urban population (% of total population),26.61,1.00
Honduras,Urban population (% of total population),57.10,5.00
Croatia,Urban population (% of total population),56.95,5.00
Haiti,Urban population (% of total population),55.28,4.00
Hungary,Urban population (% of total population),71.35,7.00
Indonesia,Urban population (% of total population),55.33,4.00
Isle of Man,Urban population (% of total population),52.59,4.00
India,Urban population (% of total population),34.03,2.00
Ireland,Urban population (% of total population),63.17,6.00
Iran,Urban population (% of total population),74.90,7.00
Iraq,Urban population (% of total population),70.47,7.00
Iceland,Urban population (% of total population),93.81,10.00
Israel,Urban population (% of total population),92.42,10.00
Italy,Urban population (% of total population),70.44,7.00
Jamaica,Urban population (% of total population),55.67,4.00
Jordan,Urban population (% of total population),90.98,9.00
Japan,Urban population (% of total population),91.62,9.00
Kazakhstan,Urban population (% of total population),57.43,5.00
Kenya,Urban population (% of total population),27.03,1.00
Kyrgyzstan,Urban population (% of total population),36.35,2.00
Cambodia,Urban population (% of total population),23.39,1.00
Saint Kitts and Nevis,Urban population (% of total population),30.78,2.00
South Korea,Urban population (% of total population),81.46,8.00
Kuwait,Urban population (% of total population),100.00,10.00
Laos,Urban population (% of total population),35.00,2.00
Lebanon,Urban population (% of total population),88.59,9.00
Liberia,Urban population (% of total population),51.15,4.00
Libya,Urban population (% of total population),80.10,8.00
Saint Lucia,Urban population (% of total population),18.68,1.00
Liechtenstein,Urban population (% of total population),14.34,1.00
Sri Lanka,Urban population (% of total population),18.48,1.00
Lithuania,Urban population (% of total population),67.68,6.00
Luxembourg,Urban population (% of total population),90.98,9.00
Latvia,Urban population (% of total population),68.14,6.00
Morocco,Urban population (% of total population),62.45,5.00
Monaco,Urban population (% of total population),100.00,10.00
Moldova,Urban population (% of total population),42.63,3.00
Madagascar,Urban population (% of total population),37.19,2.00
Maldives,Urban population (% of total population),39.81,2.00
Mexico,Urban population (% of total population),80.16,8.00
Macedonia,Urban population (% of total population),57.96,5.00
Mali,Urban population (% of total population),42.36,3.00
Malta,Urban population (% of total population),94.61,10.00
Myanmar,Urban population (% of total population),30.58,2.00
Montenegro,Urban population (% of total population),66.81,6.00
Mongolia,Urban population (% of total population),68.44,6.00
Mariana Islands,Urban population (% of total population),91.62,10.00
Mozambique,Urban population (% of total population),35.99,2.00
Mauritania,Urban population (% of total population),53.67,4.00
Mauritius,Urban population (% of total population),40.79,3.00
Malaysia,Urban population (% of total population),76.04,7.00
Namibia,Urban population (% of total population),50.03,4.00
New Caledonia,Urban population (% of total population),70.68,7.00
Niger,Urban population (% of total population),16.43,1.00
Nigeria,Urban population (% of total population),50.34,4.00
Nicaragua,Urban population (% of total population),58.52,5.00
Netherlands,Urban population (% of total population),91.49,9.00
Norway,Urban population (% of total population),82.25,8.00
Nepal,Urban population (% of total population),19.74,1.00
New Zealand,Urban population (% of total population),86.54,9.00
Oman,Urban population (% of total population),84.54,8.00
Pakistan,Urban population (% of total population),36.67,2.00
Panama,Urban population (% of total population),67.71,6.00
Peru,Urban population (% of total population),77.91,8.00
Philippines,Urban population (% of total population),46.91,3.00
Papua New Guinea,Urban population (% of total population),13.17,1.00
Poland,Urban population (% of total population),60.06,5.00
Puerto Rico,Urban population (% of total population),93.58,10.00
North Korea,Urban population (% of total population),61.90,5.00
Portugal,Urban population (% of total population),65.21,6.00
Paraguay,Urban population (% of total population),61.59,5.00
Palestine,Urban population (% of total population),76.16,7.00
French Polynesia,Urban population (% of total population),61.83,5.00
Qatar,Urban population (% of total population),99.14,10.00
Romania,Urban population (% of total population),54.00,4.00
Russia,Urban population (% of total population),74.43,7.00
Rwanda,Urban population (% of total population),17.21,1.00
Saudi Arabia,Urban population (% of total population),83.84,8.00
Sudan,Urban population (% of total population),34.64,2.00
Senegal,Urban population (% of total population),47.19,3.00
Singapore,Urban population (% of total population),100.00,10.00
Sierra Leone,Urban population (% of total population),42.05,3.00
El Salvador,Urban population (% of total population),72.02,7.00
San Marino,Urban population (% of total population),97.23,10.00
Somalia,Urban population (% of total population),44.97,3.00
Serbia,Urban population (% of total population),56.09,5.00
South Sudan,Urban population (% of total population),19.61,1.00
Suriname,Urban population (% of total population),66.06,6.00
Slovakia,Urban population (% of total population),53.73,4.00
Slovenia,Urban population (% of total population),54.54,4.00
Sweden,Urban population (% of total population),87.43,9.00
Swaziland,Urban population (% of total population),23.80,1.00
Sint Maarten (Dutch part),Urban population (% of total population),100.00,10.00
Seychelles,Urban population (% of total population),56.69,5.00
Syria,Urban population (% of total population),54.16,4.00
Turks and Caicos Islands,Urban population (% of total population),93.10,10.00
Chad,Urban population (% of total population),23.06,1.00
Togo,Urban population (% of total population),41.70,3.00
Thailand,Urban population (% of total population),49.95,4.00
Timor,Urban population (% of total population),30.58,2.00
Trinidad and Tobago,Urban population (% of total population),53.18,4.00
Tunisia,Urban population (% of total population),68.94,6.00
Turkey,Urban population (% of total population),75.14,7.00
Tanzania,Urban population (% of total population),33.78,2.00
Uganda,Urban population (% of total population),23.77,1.00
Ukraine,Urban population (% of total population),69.35,6.00
Uruguay,Urban population (% of total population),95.33,10.00
United States,Urban population (% of total population),82.26,8.00
Uzbekistan,Urban population (% of total population),50.48,4.00
Saint Vincent and the Grenadines,Urban population (% of total population),52.20,4.00
Venezuela,Urban population (% of total population),88.21,9.00
British Virgin Islands,Urban population (% of total population),47.72,3.00
United States Virgin Islands,Urban population (% of total population),95.72,10.00
Vietnam,Urban population (% of total population),35.92,2.00
Kosovo,Urban population (% of total population),,
South Africa,Urban population (% of total population),66.36,6.00
Zambia,Urban population (% of total population),43.52,3.00
Zimbabwe,Urban population (% of total population),32.21,2.00
Aruba,Population in urban agglomerations of more than 1 million (% of total population),,
Afghanistan,Population in urban agglomerations of more than 1 million (% of total population),10.79,2.00
Angola,Population in urban agglomerations of more than 1 million (% of total population),25.23,7.00
Albania,Population in urban agglomerations of more than 1 million (% of total population),,
Andorra,Population in urban agglomerations of more than 1 million (% of total population),,
United Arab Emirates,Population in urban agglomerations of more than 1 million (% of total population),59.97,10.00
Argentina,Population in urban agglomerations of more than 1 million (% of total population),43.01,9.00
